[0.09717334 0.8863388  0.55476245 0.79444784 0.97225804 0.40738868],[0.92975227 0.53851223 0.52849944 0.13774729 0.50497071 0.71024668],[0.92004004 0.86890895 0.6719348  0.96173102 0.48269327 0.09889645],[0.04824112 0.30602764 0.32158503 0.00452635 0.24018846 0.87238872],[0.37883171 0.55791925 0.277038   0.12246803 0.75536972 0.7247479 ],[0.35876586 0.09487217 0.46919988 0.14947845 0.48000062 0.57403454]
[0.32345935 0.68417454 0.08986407 0.47268254 0.03259873 0.60762657],[0.47936974 0.47689638 0.5711023  0.43569393 0.85454606 0.69915718],[0.4265763  0.08782316 0.78486981 0.65918464 0.43244558 0.45746934],[0.11549452 0.94792701 0.40573077 0.53376573 0.06762875 0.08464776],[0.89887588 0.89673955 0.02248453 0.24740088 0.87210964 0.60979971],[0.08982364 0.30568082 0.30664411 0.16805253 0.97447648 0.38931364]
[0.55103216 0.65212794 0.10902657 0.29606345 0.4015301  0.4992338 ],[0.80291008 0.99861705 0.53927591 0.3588861  0.11182201 0.70498437],[0.31532281 0.82206601 0.36242302 0.38795307 0.05353673 0.62888917],[0.58365609 0.82374049 0.0189548  0.71583923 0.67634912 0.5688109 ],[0.83923828 0.36811753 0.09618344 0.31275453 0.98075821 0.00164351],[0.15086514 0.17237956 0.30304217 0.96476233 0.34082344 0.05092161]
[0.92758749 0.42062862 0.28120735 0.26667951 0.99246033 0.43173144],[0.70998337 0.07908604 0.38802204 0.52524316 0.05650733 0.90874856],[0.45572622 0.76534977 0.4539064  0.12444803 0.27619141 0.11146405],[0.07525683 0.38317659 0.67771848 0.60289873 0.26755837 0.33992797],[0.93541215 0.37701432 0.17045496 0.04487594 0.99989876 0.00464244],[0.25489414 0.75571357 0.7679119  0.26465392 0.12825575 0.53858534]
[0.87919322 0.60485851 0.80548528 0.45679786 0.66051712 0.71620866],[0.55978326 0.34961387 0.12525782 0.11604931 0.04970019 0.22975305],[0.10506027 0.46662677 0.03383496 0.30714547 0.41155523 0.86167222],[0.47392601 0.4137222  0.02159097 0.05909846 0.871848   0.19063567],[0.8864099  0.69900322 0.78461773 0.49367751 0.62960091 0.72275996],[0.37743189 0.95535042 0.62615217 0.97812172 0.16295748 0.78219091]
[0.31245452 0.03287429 0.33446132 0.56374317 0.42417564 0.17453451],[0.66856664 0.24042518 0.6318546  0.61505791 0.1876295  0.86055054],[0.05266912 0.88909536 0.7992213  0.19448906 0.7310467  0.61854139],[0.81555346 0.61667772 0.43902615 0.44911813 0.28132739 0.43420317],[0.5345315  0.3641846  0.88908371 0.20642428 0.95227772 0.56693892],[0.19991975 0.94868183 0.91450224 0.64652768 0.67295088 0.24361189]
[0.11222652 0.12717096 0.26017864 0.62455867 0.37043907 0.94894574],[0.92654475 0.13177726 0.71166305 0.69201144 0.06643509 0.50467791],[0.80537873 0.28523547 0.16199676 0.72277646 0.73743052 0.23872026],[0.65358322 0.19362793 0.27350055 0.31376087 0.32852448 0.66605774],[0.57159148 0.35104579 0.74480224 0.42358725 0.01027716 0.59454333],[0.48169875 0.20846468 0.05728829 0.63325851 0.86155997 0.33690043]
[0.35346911 0.44395467 0.6959767  0.00498724 0.60431959 0.70586787],[0.6887202  0.0195594  0.54981781 0.39011001 0.6516228  0.23383297],[0.99762433 0.58720434 0.34367894 0.17549509 0.71532377 0.60822276],[0.77979618 0.76176689 0.11948241 0.45024162 0.36307176 0.70067443],[0.2771496  0.31942378 0.69251265 0.56197372 0.61528376 0.74032671],[0.41995274 0.38378872 0.77912813 0.95276558 0.0861447  0.32901676]
[0.73977394 0.3395873  0.61872367 0.25130961 0.45679261 0.10968676],[0.85634284 0.20290084 0.43857386 0.07123724 0.37183494 0.39341067],[0.91151486 0.21186423 0.47987188 0.75453418 0.1042332  0.86485833],[0.94325163 0.13860516 0.31158495 0.2917032  0.14238553 0.36779153],[0.46263691 0.00180346 0.7006039  0.43053376 0.45344513 0.96928536],[0.95622427 0.14158394 0.42729234 0.37642546 0.21109714 0.20040178]
[0.39338396 0.55003823 0.59545386 0.47097594 0.87636257 0.46921198],[0.69666019 0.29031605 0.14424918 0.0082522  0.9735501  0.6546158 ],[0.75294338 0.55179028 0.56749561 0.80706011 0.59150835 0.63806494],[0.15032243 0.17087538 0.75050629 0.27640552 0.87390706 0.53802577],[0.38176643 0.7336908  0.19333587 0.23354877 0.60674513 0.78092075],[0.63698155 0.25320655 0.58303787 0.41938113 0.63189823 0.96174894]
